No.,Resp.,Jenis Kelamin,Tingkat Pendidikan,Pengalaman Kerja (tahun),Kompetensi Profesional,Kinerja Guru
1,1,1,1,5,27,55
2,2,1,1,6,49,56
3,3,2,1,9,29,57
4,4,1,1,11,45,67
5,5,1,2,11,42,61
6,6,2,2,12,34,62
7,7,2,2,2,17,42
8,8,2,2,11,17,51
9,9,2,2,5,19,41
10,10,1,2,3,36,46
11,11,1,2,12,38,52
12,12,1,2,10,28,57
13,13,1,2,12,39,66
14,14,2,2,10,31,60
15,15,1,2,12,50,53
16,16,1,2,9,22,44
17,17,1,1,11,29,53
18,18,2,2,6,28,57
19,19,2,2,12,43,67
20,20,2,2,11,29,53
21,21,2,2,11,30,61
22,22,1,2,7,27,50
23,23,1,3,8,34,50
24,24,2,2,6,36,49
25,25,2,2,16,10,51
26,26,2,2,2,27,55
27,27,2,3,10,33,61
28,28,1,3,3,19,57
29,29,1,3,14,41,60
30,30,1,3,13,35,71
31,31,2,3,6,15,56
32,32,2,2,5,46,69
33,33,1,2,10,44,60
34,34,1,2,12,29,63
35,35,1,2,13,50,62
36,36,1,3,9,28,51
37,37,1,3,14,31,72
38,38,1,1,13,41,57
39,39,1,1,11,34,61
40,40,1,1,9,29,51
